#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
 582 PSHUFD                       120                0
 590 PSLLDQ                        15                0
 599 PSUBB                         82                0
 613 PUNPCKLBW                    191                0
 616 PUNPCKLWD                     49                0
 617 PUSH                       17796                0
 623 PXOR                        2263                0
 634 RDTSC                         19                0
 637 RET_NEAR                    6784                0
 638 ROL                           52                0
 639 ROR                           12                0
 650 SAR                         1266                0
 652 SBB                           12                0
 657 SETB                         252                0
 658 SETBE                        162                0
 662 SETNBE                        87                0
 668 SETNZ                       6147                0
 672 SETZ                        1016                0
 682 SHL                         3803                0
 685 SHR                         5414                0
 705 STOSB                          0             5696
 707 STOSQ                          0             3687
 710 SUB                         8620                0
 716 SYSCALL                      108                0
 723 TEST                       51073                0
1426 XCHG                          53                0
1430 XOR                         9598                0
3000 *total                    677737            11315
3001 *mem-atomic                   10                0
3002 *stack-read                64336                0
3003 *stack-write               63430                0
3004 *iprel-read                 7518                0
3005 *iprel-write                 785                0
3007 *mem-read-1                41417                0
3008 *mem-read-2                 4595                0
3010 *mem-read-4                21846                0
3014 *mem-read-8               102979                0
3022 *mem-read-16                1143                0
3519 *mem-write-1               11900                0
3520 *mem-write-2                 101                0
3522 *mem-write-4               11513                0
3526 *mem-write-8               72385                0
3534 *mem-write-16                 32                0
# $eof
